name,logfc_d35,logfc_d65,padj_d35,padj_d65,n_pathways,is_ribosomal,mutation
RPL10,0.105074557389113,-0.146429197974429,0.886151643434033,0.999978842479829,2,True,G32A
RPL10A,0.107081494233311,-0.131540842381431,0.872697310887844,0.999978842479829,2,True,G32A
RPL11,0.198475743225982,-0.118367464873064,0.735658121849715,0.999978842479829,2,True,G32A
RPL12,0.251018174012755,-0.0513451140314007,0.713730746416418,0.999978842479829,2,True,G32A
RPL13,0.20394287164976,-0.0776755072158668,0.781654974954397,0.999978842479829,2,True,G32A
RPL13A,0.328436305673156,-0.129295221323996,0.667538242513727,0.999978842479829,2,True,G32A
RPL15,0.198103944295257,-0.0885793541021354,0.7793236702635,0.999978842479829,2,True,G32A
RPL18,0.193213801514597,-0.0934608362693385,0.803934676050687,0.999978842479829,2,True,G32A
RPL22,0.216641094734145,0.0552799838339784,0.796409272625543,0.999978842479829,2,True,G32A
RPL23,0.317143785105603,-0.0584276133559616,0.584347954787342,0.999978842479829,2,True,G32A
RPL24,0.309464408829109,-0.103023289196642,0.651069453487095,0.999978842479829,2,True,G32A
RPL26,0.188181220609899,-0.109879797082939,0.743617872717908,0.999978842479829,2,True,G32A
RPL27,0.218270172805171,-0.149669593877261,0.705075883761076,0.999978842479829,2,True,G32A
RPL27A,0.193656518645126,-0.166169327851513,0.738462649002473,0.999978842479829,2,True,G32A
RPL28,0.124970777505641,-0.0990216497000418,0.866521495722012,0.999978842479829,2,True,G32A
RPL29,0.215011748040375,-0.103159423341717,0.722395008020169,0.999978842479829,2,True,G32A
RPL32,0.141940046185628,-0.0793681036772664,0.848917414450203,0.999978842479829,2,True,G32A
RPL34,0.230701622030045,-0.15173060970683,0.732083910094486,0.999978842479829,2,True,G32A
RPL35A,0.228297250431712,-0.226694848566657,0.672972887592452,0.999978842479829,2,True,G32A
RPL36,0.202083733395751,-0.164680067840732,0.773286508429538,0.999978842479829,2,True,G32A
RPL37,0.123015402453914,-0.0933241134537219,0.883779341446571,0.999978842479829,2,True,G32A
RPL37A,0.198166687682781,0.0235241088878624,0.719169084906272,0.999978842479829,2,True,G32A
RPL38,0.13799656537769,-0.136795134694088,0.859562225976941,0.999978842479829,2,True,G32A
RPL4,0.257704413711149,-0.0539500003225122,0.694572597896487,0.999978842479829,2,True,G32A
RPL5,0.297046410542873,-0.0258081743827763,0.64438052372613,0.999978842479829,2,True,G32A
RPL6,0.254373919866794,-0.0928899594002939,0.629599050490463,0.999978842479829,2,True,G32A
RPL7,0.107970462280747,-0.0623116436929951,0.833657913505174,0.999978842479829,2,True,G32A
RPL8,0.151539385901248,-0.156140067650311,0.846027048699366,0.999978842479829,2,True,G32A
RPL9,0.336982759413868,-0.0448677833191002,0.681602012309056,0.999978842479829,2,True,G32A
RPLP2,0.136439868818414,-0.10517353834819,0.871731587534746,0.999978842479829,2,True,G32A
RPS11,0.213990871656648,-0.100041377114866,0.850583016764263,0.999978842479829,2,True,G32A
RPS12,0.197141843068231,-0.0882401159085759,0.790758180256086,0.999978842479829,2,True,G32A
RPS14,0.283532630985933,-0.0798837310685805,0.639093624787811,0.999978842479829,2,True,G32A
RPS15A,0.256218848223241,-0.0964482795802866,0.752579586910018,0.999978842479829,2,True,G32A
RPS16,0.227343634367895,-0.160482522591773,0.750094863730493,0.999978842479829,2,True,G32A
RPS27,0.297589079968876,-0.123197431685128,0.713657705139356,0.999978842479829,2,True,G32A
RPS27A,0.121729859026535,-0.103592360705921,0.824064116688095,0.999978842479829,2,True,G32A
RPS28,0.206441312921299,-0.123787838904978,0.713657705139356,0.999978842479829,2,True,G32A
RPS6,0.153413368083436,-0.0162201641883328,0.790495811193402,0.999978842479829,2,True,G32A
RPL21,0.197397756759374,-0.074433491943271,0.762266485829736,0.999978842479829,1,True,G32A
RPL30,0.271400528738987,-0.0552168036030647,0.736453033350539,0.999978842479829,1,True,G32A
RPL31,0.368905332232055,-0.024815761195244,0.63045581954453,0.999978842479829,1,True,G32A
RPLP1,0.0978894313873546,-0.152684083255687,0.901486774562865,0.999978842479829,1,True,G32A
RPS19,0.28354416154054,-0.0372458354683047,0.655666891005453,0.999978842479829,1,True,G32A
RPS20,0.140780072804271,-0.103071692182603,0.79736864371018,0.999978842479829,1,True,G32A
RPS23,0.091231133936061,-0.145291113268071,0.885455472181231,0.999978842479829,1,True,G32A
RPS3,0.198878527665844,-0.167970761610484,0.726236365555556,0.999978842479829,1,True,G32A
RPS5,0.108667683872332,-0.0510393720085478,0.899788281994158,0.999978842479829,1,True,G32A
RPS6KC1,-0.213760984457042,0.0335900052436005,0.676660742019988,0.999978842479829,1,True,G32A
RPS7,0.222006145179424,-0.0936130766733339,0.709374242021936,0.999978842479829,1,True,G32A
RPS8,0.277652229481935,-0.0447327149012331,0.713657705139356,0.999978842479829,1,True,G32A
DBN1,-0.43814025667646,-0.115196460569813,0.577113257423316,0.999978842479829,3,False,G32A
ANKS1B,-0.554997568644816,0.244464877879549,0.819934112083908,0.999978842479829,2,False,G32A
CALM1,-0.605334046803808,0.151974163959585,0.626595945332088,0.999978842479829,2,False,G32A
CALM3,-0.361594259201091,0.0370553738963935,0.637331189233993,0.999978842479829,2,False,G32A
FBXO45,-0.448784526180901,-0.0467171037067136,0.655236211652999,0.999978842479829,2,False,G32A
FUS,-1.22577401331845,0.0325996627700249,0.579381818233017,0.999978842479829,2,False,G32A
HNRNPA2B1,-0.484599031537321,0.0278221853815861,0.636621722223239,0.999978842479829,2,False,G32A
