"ID","Description","NES","pvalue","p.adjust","core_enrichment","database","contrast"
"SYNGO:presyn_ribosome","presynaptic ribosome",2.23316446947385,3.06143894767877e-06,1.95932092651441e-05,"RPL23/RPS14/RPS12/RPL6/RPL12/RPS28/RPL27A/RPS27/RPL26/RPL35A/RPL11/RPL5/RPS16/RPL36/RPL24/RPL27/RPL13A/RPL37A/RPL9/RPL34/RPL8/RPS6/RPL38/RPL4/RPL28/RPL22/RPL7/RPS27A/RPLP2/RPL32/RPS15A/RPL17/UBA52/RPL10A/RPL15/RPL18/RPL29/RPL13/RPL14","syngo","R403C_vs_Ctrl_D35"
"GO:0099523","presynaptic cytosol",-1.87762876232169,0.000476350099680669,0.00166555521217937,"SUMO1/HTT/SNCB/TNK2/SH3GL2/PPFIA2/MARCKS/SUMO2/CTBP2/STXBP1/GDI1/HNRNPAB/RAPH1/SYT1/STXBP5/FUS/UBE2I/ANKS1B/FBXO45/ERC1/CALM1/PRKCB/CALM3/TRIM9/RABEP1/NCS1/MARCKSL1","syngo","R403C_vs_Ctrl_D35"
"GO:0014069","postsynaptic density",-1.66966566846555,0.000520486003806054,0.00166555521217937,"INPP4A/HNRNPA2B1/ARHGAP33/GPSM2/NEURL1/HNRNPH1/APBB1/HNRNPM/TACC3/SHANK2/PAK1/ROCK2/RAPGEF4/ARRB1/SRGAP2/ARRB2/GSK3B/FRMPD4/KPNA1/MAGI2/SYT1/CAMK2B/HNRNPA3/DGKZ/SYNCRIP/ANKS1B/CD200/RBMX/DGCR8/HNRNPD/PPP1R9B/NEGR1/MAP1A/DBN1/ADGRA1/PAK2/PIP5K1C/DPYSL2/TANC2/CAMK1/ANK3/DYNLL2/SPOCK1/VHL/DLG5/KALRN","syngo","R403C_vs_Ctrl_D35"
"GO:0099524","postsynaptic cytosol",-1.58711201843653,0.0127026693248178,0.0338737848661809,"SENP6/RIMS3/RGS4/MTOR/PLCB1/SUMO1/HTT/PTEN/TNK2/PLCB3/PIN1/SUMO2/VAMP2/HNRNPA2B1/EIF4E/SYT1/KIF5A/FUS/UBE2I/FBXO45/KIF5C/DBN1/CALM1/CALM3/FABP5/NCS1","syngo","R403C_vs_Ctrl_D35"
"GO:0045211","postsynaptic membrane",-1.42863926694451,0.0861220839233808,0.131233651692771,"RGS7/GNB5/SNAP91/HIP1/GNAO1/SYT1/DBN1/NRGN","syngo","R403C_vs_Ctrl_D35"
"SYNGO:postsyn_ribosome","postsynaptic ribosome",-2.58145672878091,2.9242210048333e-10,9.35750721546656e-09,"RPS21/RPL31/RPS24/RPL7/RPL10/RPS11/RPS15/RPL17/RPL23/RPS20/RPL37A/RPS14/RPL27/RPL4/RPL9/RPL13/RPS7/RPS8/RPL35/RPL32/RPL29/RPS15A/RPL18/RPS3/RPL13A/RPL34/RPS13/RPL11/RPL8/UBA52/RPL15/RPL10A/RPL26/RPS16/RPS19/RPL37/RPL21/RPL36/RPL38/RPS23/RPL6/RPL27A/RPL24/RPL14/RPL36A/RPL35A/RPS2","syngo","R403C_vs_Ctrl_D65"
"SYNGO:presyn_ribosome","presynaptic ribosome",-2.47747347246333,6.65058068527102e-08,1.06409290964336e-06,"RPS24/RPL7/RPL10/RPS11/RPL17/RPL23/RPL37A/RPS14/RPL27/RPL4/RPL9/RPL13/RPL35/RPL32/RPL29/RPS15A/RPL18/RPL13A/RPL34/RPS13/RPL11/RPL8/UBA52/RPL15/RPL10A/RPL26/RPS16/RPL37/RPL36/RPL38/RPL6/RPL27A/RPL24/RPL14/RPL36A/RPL35A","syngo","R403C_vs_Ctrl_D65"
"GO:0014069","postsynaptic density",-1.21207702775613,0.103505770771529,0.331218466468894,"DYNLL2/STRN/STAT3/RPL7/ARHGAP33/MIB1/VHL/GSK3B/MAGI2/RPL23/ARRB2/CAMK2B/CTNND2/SHANK1/NEURL1/RPL18A/RPS14/PAK1/AGAP3/RPL4/VAMP2/ARHGAP32/RPS6KC1/CD200/MAP2K1/RPS3/BRSK1/RPS13/PAK3/BAIAP2/RPL8/EIF3E/SHANK2/SHANK3/RPL10A/ANK3/ARF1/LZTS3/PAK2/RPS19/CYLD/SAMD4A/GRIP2/EPS8/PCBP2/SRGAP2/RAPGEF4/DRP2/DNAJB1/RPL38/RPL6/FRMPD4/DPYSL2/RPL14/ADGRA1","syngo","R403C_vs_Ctrl_D65"
"GO:0045211","postsynaptic membrane",-0.996760352827126,0.452440015842905,0.762004237209103,"HIP1/KCTD12/KCTD16/GNAO1","syngo","R403C_vs_Ctrl_D65"
"GO:0099523","presynaptic cytosol",0.826630001847297,0.776690713211641,0.919571252201251,"STXBP5/PIAS3/ERC1/CTBP2/CAMK2A/SUMO3/HNRNPAB/SENP6/LRRK2/NCS1/PRKCA/FMR1/PNKD/FUS","syngo","R403C_vs_Ctrl_D65"
"GO:0099524","postsynaptic cytosol",0.804498083133849,0.812646325446828,0.919571252201251,"MTOR/PIAS3/HNRNPA2B1/HOMER1/CAMK2A/SUMO3/SENP6/FABP5/UBE3A/NCS1/KIF5B/FMR1/PLCB3/FUS/PLCB1","syngo","R403C_vs_Ctrl_D65"
