"Sample","ModuleScore","Module","Genotype","Timepoint","Day","Ctrl_Mean","Divergence"
"D35GAF7_323",8.45263481494073,"Synaptic Ribosomes","G32A","D35",35,8.3740825876942,0.0785522272465276
"D35GAG5_222",8.541894140794,"Synaptic Ribosomes","G32A","D35",35,8.3740825876942,0.167811553099794
"D35GAG5_322",8.6297699337536,"Synaptic Ribosomes","G32A","D35",35,8.3740825876942,0.255687346059394
"D35GAG5_323",8.45793984804196,"Synaptic Ribosomes","G32A","D35",35,8.3740825876942,0.0838572603477541
"D35RCD5_222",8.5899462239,"Synaptic Ribosomes","R403C","D35",35,8.3740825876942,0.215863636205794
"D35RCD5_322",8.70183020608177,"Synaptic Ribosomes","R403C","D35",35,8.3740825876942,0.327747618387571
"D35RCD5_323",8.51217096607098,"Synaptic Ribosomes","R403C","D35",35,8.3740825876942,0.138088378376771
"D35RCG3_222",8.44007585285144,"Synaptic Ribosomes","R403C","D35",35,8.3740825876942,0.0659932651572408
"D35RCG3_322",8.43379096755857,"Synaptic Ribosomes","R403C","D35",35,8.3740825876942,0.0597083798643663
"D35RCG3_323",8.20522545946642,"Synaptic Ribosomes","R403C","D35",35,8.3740825876942,-0.168857128227783
"D65Ctrl_1123",8.80473999111626,"Synaptic Ribosomes","Ctrl","D65",65,8.55004576812215,0.254694222994118
"D65Ctrl_222",8.11000969090385,"Synaptic Ribosomes","Ctrl","D65",65,8.55004576812215,-0.4400360772183
"D65Ctrl_423",8.73538762234633,"Synaptic Ribosomes","Ctrl","D65",65,8.55004576812215,0.18534185422418
"D65GA_1123",8.73062000570721,"Synaptic Ribosomes","G32A","D65",65,8.55004576812215,0.180574237585063
"D65GAF7_222",8.14654734769579,"Synaptic Ribosomes","G32A","D65",65,8.55004576812215,-0.403498420426361
"D65GAF7_423",8.56653568242244,"Synaptic Ribosomes","G32A","D65",65,8.55004576812215,0.0164899143002906
"D65GAG5_423",8.34160555024636,"Synaptic Ribosomes","G32A","D65",65,8.55004576812215,-0.208440217875788
