"Sample","ModuleScore","Module","Genotype","Timepoint","Day","Ctrl_Mean","Divergence"
"D35Ctrl_222",5.58865684833092,"Ribosome Biogenesis","Ctrl","D35",35,5.30975250305157,0.278904345279354
"D35Ctrl_322",5.22828701171638,"Ribosome Biogenesis","Ctrl","D35",35,5.30975250305157,-0.08146549133519
"D35Ctrl_323",5.1123136491074,"Ribosome Biogenesis","Ctrl","D35",35,5.30975250305157,-0.197438853944164
"D35GAF7_322",4.64101658090081,"Ribosome Biogenesis","G32A","D35",35,5.30975250305157,-0.668735922150758
"D35GAF7_323",4.57338719920695,"Ribosome Biogenesis","G32A","D35",35,5.30975250305157,-0.736365303844615
"D35GAG5_222",5.58807214799152,"Ribosome Biogenesis","G32A","D35",35,5.30975250305157,0.27831964493995
"D35GAG5_322",4.49120133338433,"Ribosome Biogenesis","G32A","D35",35,5.30975250305157,-0.818551169667241
"D35GAG5_323",4.85727638117962,"Ribosome Biogenesis","G32A","D35",35,5.30975250305157,-0.452476121871944
"D35RCD5_222",5.72596207304415,"Ribosome Biogenesis","R403C","D35",35,5.30975250305157,0.41620956999258
"D35RCD5_322",4.45770438933537,"Ribosome Biogenesis","R403C","D35",35,5.30975250305157,-0.8520481137162
"D35RCD5_323",4.7038915174592,"Ribosome Biogenesis","R403C","D35",35,5.30975250305157,-0.605860985592369
"D35RCG3_222",5.58906469770786,"Ribosome Biogenesis","R403C","D35",35,5.30975250305157,0.279312194656291
"D35RCG3_322",4.97570109433226,"Ribosome Biogenesis","R403C","D35",35,5.30975250305157,-0.334051408719303
"D35RCG3_323",4.71544661648172,"Ribosome Biogenesis","R403C","D35",35,5.30975250305157,-0.59430588656985
"D65Ctrl_1123",4.84905915153122,"Ribosome Biogenesis","Ctrl","D65",65,4.84716070186396,0.00189844966726316
"D65Ctrl_222",4.9871605252628,"Ribosome Biogenesis","Ctrl","D65",65,4.84716070186396,0.139999823398837
"D65Ctrl_423",4.70526242879786,"Ribosome Biogenesis","Ctrl","D65",65,4.84716070186396,-0.141898273066099
"D65GA_1123",4.86430769683189,"Ribosome Biogenesis","G32A","D65",65,4.84716070186396,0.0171469949679288
"D65GAF7_222",4.9972125254285,"Ribosome Biogenesis","G32A","D65",65,4.84716070186396,0.150051823564541
