"Sample","ModuleScore","Module","Genotype","Timepoint","Day","Ctrl_Mean","Divergence","Day_jittered"
"D65RCG3_222",8.4552347056167,"Cytoplasmic Translation","R403C","D65",65,8.46341253117221,-0.00817782555551183,64.6075507756514
"D65RCG3_423",8.3458035281798,"Cytoplasmic Translation","R403C","D65",65,8.46341253117221,-0.117609002992404,64.7136852765091
"D35Ctrl_222",8.42755526433504,"Synaptic Ribosomes","Ctrl","D35",35,8.3740825876942,0.0534726766408387,35.1858059081751
"D35Ctrl_322",8.57711042399568,"Synaptic Ribosomes","Ctrl","D35",35,8.3740825876942,0.203027836301475,35.6781138915665
"D35Ctrl_323",8.11758207475189,"Synaptic Ribosomes","Ctrl","D35",35,8.3740825876942,-0.256500512942313,35.1543020514488
"D35GAF7_322",8.54398727605579,"Synaptic Ribosomes","G32A","D35",35,8.3740825876942,0.169904688361589,34.5200689117964
"D35GAF7_323",8.45263481494073,"Synaptic Ribosomes","G32A","D35",35,8.3740825876942,0.0785522272465276,34.3940946103756
"D35GAG5_222",8.541894140794,"Synaptic Ribosomes","G32A","D35",35,8.3740825876942,0.167811553099794,34.6843111596438
"D35GAG5_322",8.6297699337536,"Synaptic Ribosomes","G32A","D35",35,8.3740825876942,0.255687346059394,35.0552612887119
"D35GAG5_323",8.45793984804196,"Synaptic Ribosomes","G32A","D35",35,8.3740825876942,0.0838572603477541,35.010694233878
"D35RCD5_222",8.5899462239,"Synaptic Ribosomes","R403C","D35",35,8.3740825876942,0.215863636205794,35.797098756305
"D35RCD5_322",8.70183020608177,"Synaptic Ribosomes","R403C","D35",35,8.3740825876942,0.327747618387571,34.5701065810091
"D35RCD5_323",8.51217096607098,"Synaptic Ribosomes","R403C","D35",35,8.3740825876942,0.138088378376771,35.2234110225108
"D35RCG3_222",8.44007585285144,"Synaptic Ribosomes","R403C","D35",35,8.3740825876942,0.0659932651572408,34.7038864555673
"D35RCG3_322",8.43379096755857,"Synaptic Ribosomes","R403C","D35",35,8.3740825876942,0.0597083798643663,34.2657219811145
"D35RCG3_323",8.20522545946642,"Synaptic Ribosomes","R403C","D35",35,8.3740825876942,-0.168857128227783,35.0431221907315
"D65Ctrl_1123",8.80473999111626,"Synaptic Ribosomes","Ctrl","D65",65,8.55004576812215,0.254694222994118,64.7716831008787
"D65Ctrl_222",8.11000969090385,"Synaptic Ribosomes","Ctrl","D65",65,8.55004576812215,-0.4400360772183,65.2410457877582
"D65Ctrl_423",8.73538762234633,"Synaptic Ribosomes","Ctrl","D65",65,8.55004576812215,0.18534185422418,65.4372152170006
"D65GA_1123",8.73062000570721,"Synaptic Ribosomes","G32A","D65",65,8.55004576812215,0.180574237585063,64.9408424174298
"D65GAF7_222",8.14654734769579,"Synaptic Ribosomes","G32A","D65",65,8.55004576812215,-0.403498420426361,65.1604204271096
"D65GAF7_423",8.56653568242244,"Synaptic Ribosomes","G32A","D65",65,8.55004576812215,0.0164899143002906,64.4691487983201
"D65GAG5_423",8.34160555024636,"Synaptic Ribosomes","G32A","D65",65,8.55004576812215,-0.208440217875788,65.4061415289909
"D65RC_1123",8.18782837382544,"Synaptic Ribosomes","R403C","D65",65,8.55004576812215,-0.362217394296701,65.325671292535
"D65RCD5_423",8.55075727756385,"Synaptic Ribosomes","R403C","D65",65,8.55004576812215,0.000711509441707392,65.2260471851231
"D65RCG3_222",8.5386242496049,"Synaptic Ribosomes","R403C","D65",65,8.55004576812215,-0.0114215185172437,64.7617227250558
"D65RCG3_423",8.38896593517337,"Synaptic Ribosomes","R403C","D65",65,8.55004576812215,-0.161079832948774,64.5367221023883
