"Contrast","Gene","logFC","t","P.Value","adj.P.Val","B"
"G32A_vs_Ctrl_D35","NNAT",-4.09498258833142,-12.9435808012474,1.26862715179454e-11,1.26862715179454e-11,14.7189738705667
"G32A_vs_Ctrl_D35","PNPO",-6.55427159434007,-7.58801049772392,1.63825397084901e-07,1.63825397084901e-07,4.25413654551053
"R403C_vs_Ctrl_D35","NNAT",-4.17800225599635,-13.9359337600785,3.04648281065213e-12,3.04648281065213e-12,15.6036494413111
"G32A_vs_Ctrl_D65","NNAT",-3.37019704260588,-9.34158508077932,5.06013949335748e-09,5.06013949335748e-09,7.28630603908357
"G32A_vs_Ctrl_D65","PNPO",-5.7667772118679,-7.50348062849972,1.9564148781993e-07,1.9564148781993e-07,1.87708385044629
"R403C_vs_Ctrl_D65","NNAT",-3.58827610565774,-9.7533145263653,2.37152894499101e-09,2.37152894499101e-09,6.59798694922411
