"Compartment","Mean_NES","Min_FDR","Max_abs_NES"
"Postsynaptic",-2.95321237078905,1.88281501185656e-15,3.01930378165091
"Presynaptic",-2.80731140677414,3.15254028422659e-12,2.90209927613196
