"Process","Category","Mean_NES","Min_FDR","Max_abs_NES","Mean_GeneCount"
"Cytoplasmic
Translation","Using",-1.95066398207875,3.39712568078179e-06,2.06610763674837,157
"Ribosome
Biogenesis","Making",1.92365710577811,5.48319967495414e-12,2.25418549877522,287
