"Pool","Pathway_Short","Description","Contrast","Mutation","Timepoint","NES","p.adjust","pvalue","setSize"
"2. Synaptic Ribosomes (SynGO)","Postsynaptic Ribosome","postsynaptic ribosome","Maturation_R403C_specific","R403C","TrajDev (Maturation)",-2.88712095992719,2.50925899685276e-12,7.84143436516486e-14,65
"2. Synaptic Ribosomes (SynGO)","Presynaptic Ribosome","presynaptic ribosome","Maturation_R403C_specific","R403C","TrajDev (Maturation)",-2.71252353741633,3.63000044373201e-10,2.26875027733251e-11,51
"2. Synaptic Ribosomes (SynGO)","Postsynaptic Ribosome","postsynaptic ribosome","R403C_vs_Ctrl_D65","R403C","Late (D65)",-2.58145672878091,9.35750721546656e-09,2.9242210048333e-10,65
"2. Synaptic Ribosomes (SynGO)","Presynaptic Ribosome","presynaptic ribosome","R403C_vs_Ctrl_D65","R403C","Late (D65)",-2.47747347246333,1.06409290964336e-06,6.65058068527102e-08,51
"3. Mitochondrial Ribosomes (MitoCarta)","Mitochondrial Central Dogma","Mitochondrial_central_dogma","G32A_vs_Ctrl_D35","G32A","Early (D35)",-2.38426797755104,1.82931344702678e-12,2.54071312087053e-14,216
"3. Mitochondrial Ribosomes (MitoCarta)","Translation","Translation","G32A_vs_Ctrl_D35","G32A","Early (D35)",-2.1968750720465,4.99048749620899e-08,1.38624652672472e-09,145
"3. Mitochondrial Ribosomes (MitoCarta)","Mitochondrial Ribosome","Mitochondrial_ribosome","G32A_vs_Ctrl_D35","G32A","Early (D35)",-2.1835650924473,1.55483500048331e-05,8.02382802275467e-07,77
"3. Mitochondrial Ribosomes (MitoCarta)","Mitochondrial Ribosome Assembly","Mitochondrial_ribosome_assembly","G32A_vs_Ctrl_D35","G32A","Early (D35)",-1.98750770735091,0.0048346014623487,0.000537177940260967,24
"3. Mitochondrial Ribosomes (MitoCarta)","Translation Factors","Translation_factors","G32A_vs_Ctrl_D35","G32A","Early (D35)",-0.85119961932039,0.785157972079353,0.654298310066128,15
"3. Mitochondrial Ribosomes (MitoCarta)","Mitochondrial Central Dogma","Mitochondrial_central_dogma","Maturation_G32A_specific","G32A","TrajDev (Maturation)",2.40551487842377,2.13630593821193e-13,2.9670915808499e-15,216
"3. Mitochondrial Ribosomes (MitoCarta)","Translation","Translation","Maturation_G32A_specific","G32A","TrajDev (Maturation)",2.1845953001715,7.36415058509481e-08,2.04559738474856e-09,145
"3. Mitochondrial Ribosomes (MitoCarta)","Mitochondrial Ribosome","Mitochondrial_ribosome","Maturation_G32A_specific","G32A","TrajDev (Maturation)",1.89322200796298,0.00079793418384556,5.54120961003861e-05,77
"3. Mitochondrial Ribosomes (MitoCarta)","Mitochondrial Ribosome Assembly","Mitochondrial_ribosome_assembly","Maturation_G32A_specific","G32A","TrajDev (Maturation)",2.11219120748669,0.00114501173916986,9.54176449308215e-05,24
"3. Mitochondrial Ribosomes (MitoCarta)","Translation Factors","Translation_factors","Maturation_G32A_specific","G32A","TrajDev (Maturation)",1.3308000296798,0.349308133648329,0.133003118693818,15
"3. Mitochondrial Ribosomes (MitoCarta)","Mitochondrial Ribosome","Mitochondrial_ribosome","G32A_vs_Ctrl_D65","G32A","Late (D65)",-1.43145056569805,0.601652892561984,0.033627474362032,77
"3. Mitochondrial Ribosomes (MitoCarta)","Translation Factors","Translation_factors","G32A_vs_Ctrl_D65","G32A","Late (D65)",1.23115507801291,0.808685885436166,0.206543593492963,15
"3. Mitochondrial Ribosomes (MitoCarta)","Translation","Translation","G32A_vs_Ctrl_D65","G32A","Late (D65)",-0.857282986637508,0.999289646599183,0.82328802256989,145
"3. Mitochondrial Ribosomes (MitoCarta)","Mitochondrial Ribosome Assembly","Mitochondrial_ribosome_assembly","G32A_vs_Ctrl_D65","G32A","Late (D65)",0.84676322397694,0.999289646599183,0.694648290674781,24
"3. Mitochondrial Ribosomes (MitoCarta)","Mitochondrial Central Dogma","Mitochondrial_central_dogma","G32A_vs_Ctrl_D65","G32A","Late (D65)",0.714285609443394,0.999289646599183,0.992754789888907,216
"3. Mitochondrial Ribosomes (MitoCarta)","Mitochondrial Central Dogma","Mitochondrial_central_dogma","R403C_vs_Ctrl_D35","R403C","Early (D35)",-1.80172631266755,0.00051165818566462,7.10636368978639e-06,216
"3. Mitochondrial Ribosomes (MitoCarta)","Translation","Translation","R403C_vs_Ctrl_D35","R403C","Early (D35)",-1.64804471763229,0.0128561232898511,0.000892786339572991,145
"3. Mitochondrial Ribosomes (MitoCarta)","Mitochondrial Ribosome Assembly","Mitochondrial_ribosome_assembly","R403C_vs_Ctrl_D35","R403C","Early (D35)",-1.89122509468268,0.033944796845534,0.00369208697722104,24
